Number of captions, Number of images
1,704
2,9110
3,169
4,4
5,2
6,2
7,2
8,4
10,1
11,2

Number of captions, Image name,captions
1,000876.jpg,A dump truck is parked on site.
1,000878.jpg,A wheel loader is loading soil into its bucket.
1,000879.jpg,A wheel loader is travelling on site near some rocks.
1,000880.jpg,A mobile crane is set up on site and its hook is above the roof of a building.
1,000888.jpg,A wheel loader is loading soil into its bucket.
1,000889.jpg,A wheel loader is loading a big rock brick into a dump truck.
1,000890.jpg,A grader is grading an uneven soil road.
1,000893.jpg,A backhoe loader is loading rocks into its bucket.
1,000895.jpg,An excavator is excavating soil on the side bank of a pond.
1,000898.jpg,A wheel loader is loading a dump truck with soil and an excavator is excavate soil.
1,000899.jpg,A grader is grading a road.
1,000900.jpg,A compactor is compacting a road.
1,000903.jpg,A dump truck is parked on a road.
1,000908.jpg,A backhoe loader is digging soil on the road using its back hoe.
1,000910.jpg,A dozer is travelling on a rocky ground.
1,000913.jpg,A wheel loader is travelling on site with its bucket full loaded with soil.
1,000914.jpg,A compactor is travelling on a road.
1,000915.jpg,A backhoe loader is travelling trough a shallow river.
1,000916.jpg,A mobile crane is travelling on a road.
1,000918.jpg,A backhoe loader is digging soil on the ground using its back hoe.
1,000919.jpg,A wheel loader is loading snow on a parking site.
1,000920.jpg,A mobile crane is parked in a parking site.
1,000921.jpg,A grader is grading the road.
1,000922.jpg,A cement truck is travelling on a road.
1,000927.jpg,A grader is travelling on a road.
1,000929.jpg,A grader is doing high bank cut along a road.
1,000930.jpg,A mobile crane is travelling on a narrow road.
1,000931.jpg,A backhoe loader is excavating soil.
1,000933.jpg,A grader is grading a flat road.
1,000935.jpg,A grader is grading a road.
1,000936.jpg,A tower crane is lifting materials.
1,000938.jpg,A cement truck is travelling on a road.
1,000939.jpg,A backhoe loader is travelling besides a river to the loading point.
1,000940.jpg,Two cement trucks are parked on site.
1,000941.jpg,A dozer is pushing soil.
1,000942.jpg,A backhoe loader is excavating soil using its back hoe on a grass ground.
1,000943.jpg,A cement truck is travelling on a soil road.
1,000944.jpg,A wheel loader is transferring wood in a forest.
1,000945.jpg,A wheel loader is travelling on site with its bucket full loaded with soil.
1,000946.jpg,A dozer is pushing rocks and soil in a forest.
1,000947.jpg,A wheel loader is travelling on site with its bucket full loaded with soil.
1,000949.jpg,A dozer pushing rocks and soil in rain.
1,000950.jpg,A backhoe loader is travelling on site with its front bucket loaded with gravel.
1,000952.jpg,A grader is grading a sandy road.
1,000953.jpg,A backhoe loader is travelling in a forest.
1,000956.jpg,A grader is grading a soil road.
1,000958.jpg,A cement truck is travelling on a road.
1,000959.jpg,A backhoe loader is travelling on a road.
1,000960.jpg,A mobile crane is set up on site and its hook is empty.
1,000962.jpg,A grader is grading a sandy road.
1,000963.jpg,A grader is travelling on a road.
1,000966.jpg,A backhoe loader is dumping soil onto ground.
1,000967.jpg,A wheel loader is travelling on site.
1,000968.jpg,A mobile crane is travelling on a road near a river.
1,000969.jpg,A mobile crane is parked in a parking site.
1,000971.jpg,Two excavators are loading three dump trucks.
1,000972.jpg,An excavator is about to digging the soil and a dump truck is waiting to be loaded.
1,000975.jpg,A dozer is travelling on a road.
1,000976.jpg,A mobile crane is set up besides a building and its hook is empty.
1,000978.jpg,An excavator is excavating the gravels.
1,000979.jpg,A cement truck is travelling on the road.
1,000981.jpg,A wheel loader is loading soil into its bucket.
1,000984.jpg,An excavator is dumping soil into a dump truck.
1,000985.jpg,An excavator is about to digging the soil and a dump truck is waiting to be loaded.
1,000986.jpg,A backhoe loader is excavating rocks.
1,000987.jpg,An excavator is dumping soil onto the ground.
1,000988.jpg,A grader is grading the road.
1,000989.jpg,Two mobile cranes are set up in a square.
1,000990.jpg,An excavator is loading a dump truck and another dump truck is waiting to be loaded.
1,000991.jpg,A wheel loader is about travelling on a road.
1,000992.jpg,A mobile crane is travelling on the road.
1,000994.jpg,A dozer is travelling in a forest.
1,000996.jpg,A wheel loader is returning to the loading point and a dump truck is waiting to be loaded.
1,000998.jpg,A grader is grading the road.
1,000999.jpg,A dozer is pushing rocks.
1,001021.jpg,A dozer is back filling with the soil.
1,001025.jpg,Dump truck with load leaving site.  Two dump trucks on road outside are waiting.  
1,001057.jpg,A compactor is driving off truck platform.  Wheel loader parked in the background.
1,001067.jpg,A grader is collecting the soil from the sides of the graded path.
1,001068.jpg,A mobile crane is transferring materials at a site.
1,001069.jpg,A mobile crane is travelling on the construction site.
1,001074.jpg,One grader is flatening dirt road using blade.
1,001077.jpg,A backhoe loader is parked at a site.
1,001087.jpg,the excavator is swinging its bucket.
1,001092.jpg,a dozer has went off track
1,001095.jpg,A backhoe loader is standing at site.
1,001097.jpg,A wheel loader is dumping gravel into a dump truck.
1,001104.jpg,A dozer is spreading the soil.
1,001108.jpg,two graders are spreading sand on the site
1,001114.jpg,Excavator positioning itself on site.
1,001122.jpg,the backhoe loader is swinging its front bucket to start loading it with soil.
1,001128.jpg,An excavator is getting off a transport vehicle's ramp at a site.
1,001136.jpg,A compactor is compacting the road.
1,001137.jpg,the wheel loader is loading sand.
1,001144.jpg,The compactor is on a tow car.
1,001146.jpg,Mobile crane erect.  Mobile crane moving steel beam.
1,001147.jpg,One compactor is moving backward over concrete surface.
1,001149.jpg,A grader is grading a dirt road.
1,001161.jpg,A concrete mixer truck is travelling at a site.
1,001168.jpg,A backhoe loader is loading the soil.
1,001184.jpg,A tower crane is swinging from a building.
1,001191.jpg,A bulldozer is pushing excess rocks off the leveled ground.
1,001197.jpg,An excavator is dumping soil into a dump truck
1,001198.jpg,A concrete mixer truck is waiting at the construction site.
1,001199.jpg,The mobile crane is standing still. 
1,001207.jpg,A grader is travelling on a road.
1,001210.jpg,Two dozers in tandem at the back of the site pushing dirt.  An excavator in front of them.
1,001226.jpg,A concrete mixer truck is travelling to a site.
1,001230.jpg,A grader is clearing off the soil.
1,001232.jpg,the wheel loader is loading its bucket with materials.
1,001240.jpg,A mobile crane is in standby with the stabilizers deployed.
1,001241.jpg,An excavator is parked by the side of a road.
1,001243.jpg,One grader is grading dirt surface.
1,001248.jpg,A grader is grading the new road.
1,001264.jpg,Two graders are spreading the soil.
1,001266.jpg,One backhoe loader is moving backward.
1,001280.jpg,A backhoe loader is travelling empty.
1,001284.jpg,the backhoe loader is arriving at the work site
1,001285.jpg,The mobile crane is transferring a person from floor to floor. 
1,001301.jpg,The dozer is flattening rocks. 
1,001303.jpg,one excavator is about to start digging and loading a number to dump trucks
1,001305.jpg,A tower crane is swinging materials at a site.
1,001309.jpg,The loaded dump truck is returning to the construction site.
1,001312.jpg,A mobile crane is travelling on the road.
1,001319.jpg,A grader is bank sloping
1,001327.jpg,Two dozers are blade-to-blade dozing in a construction site.
1,001328.jpg,the backhoe loader is loading its front bucket with sand from the site 
1,001329.jpg,he mobile crane is lifting building material at the site.
1,001332.jpg,a grader is spreading dumped load
1,001335.jpg,few excavators are loading dirt into dump trucks
1,001351.jpg,A grader is shaping the soil
1,001366.jpg,A backhoe loader is travelling empty on the dirt road.
1,001381.jpg,A dump truck is waiting at the construction site.
1,001383.jpg,An excavator is excavating soil on the pond. Two dozers are pushing soil towards it
1,001392.jpg,A compactor is compacting the road.
1,001414.jpg,One wheel loader is pushing sand.
1,001417.jpg,A concrete mixer truck is getting concrete loaded
1,001424.jpg,An excavator Is swinging rocks into a dump truck.
1,001431.jpg,The compactor is compacting
1,001445.jpg,a few dump trucks are leaving the site loaded with dirt. 
1,001448.jpg,A compactor is compacting a road.
1,001453.jpg,the dozer is pushing sand at the side of a road to keep it smooth
1,001456.jpg,A grader is shaping the plot of land.
1,001457.jpg,A mobile crane is stabilized by an outrigger while it transfers materials at a site.
1,001461.jpg,the wheel loader has stopped at the site.
1,001475.jpg,One grader is pushing snow from a snow filled road.
1,001478.jpg,One concrete mixer truck has arrived in site.
1,001485.jpg,two dozers are spreading materials at the site.
1,001498.jpg,A compactor is being parked on the parking site.
1,001499.jpg,An excavator is excavating soil at a site while a wheel loader approaches the site.
1,001503.jpg,an excavator is ripping rocks 
1,001518.jpg,A n excavator is standing at a site.
1,001539.jpg,One excavator is starting to dig soil.
1,001540.jpg,An excavator is digging trench by fence.  Two dump trucks are driving on site road.  Mobile crane set up. A compactor is compacting site road.
1,001549.jpg,the excavator is loading a dump truck with materials from the site
1,001567.jpg,A concrete mixer is standing still in a construction site.
1,001568.jpg,One concrete mixer machine is dumping concrete from drum.
1,001572.jpg,An excavator is dumping the construction material into the dump truck.
1,001574.jpg,a mobile crane awates for action
1,001581.jpg,the grader is performing haul road maintenance  
1,001594.jpg,A backhoe loader is traveling on a dirt road.
1,001613.jpg,the dozer is slot dozing at the site 
1,001615.jpg,The wheel loader is loading sand. 
1,001619.jpg,the backhoe loader is excavating at the site 
1,001626.jpg,A wheel loader is loading slabs. A dump truck is waiting to be loaded on the site.
1,001636.jpg,A grader is grading site.
1,001661.jpg,Backhoe loader is excavating soil.  Backhoe loader back hoe boom is turned to excavate beside site.
1,001667.jpg,A grader is maintaining the dirt road.
1,001676.jpg,The mobile crane is hovering above the sand.
1,001682.jpg,the dozer is grading the slope.
1,001686.jpg,A grader grading a dirt road.
1,001691.jpg,a tower crane is swinging with its jib lifted. An excavator is digging the ground on the site.
1,001693.jpg,Backhoe loader traveling on road site.  Backhoe moving with pipe suspended from backhoe.
1,001703.jpg,A bulldozer is  parked at a site.
1,001709.jpg,An excavator is lifting boxes to the truck. A wheel loader is levelling soil on the site.
1,001721.jpg,Two mobile cranes are in operation at site.
1,001722.jpg,A grader is grading a dirt road.
1,001726.jpg,The grader is grading the soil. 
1,001731.jpg,One dozer is spreading sand.
1,001732.jpg,Mobile crane is being loaded onto flatbed truck for transportation.
1,001736.jpg,the mobile crane is stabilized at the site.
1,001741.jpg,A dozer is collecting the soil. A dump truck is loaded with soil and is moving to dump it on the site.
1,001747.jpg,A tower crane is swinging.
1,001776.jpg,A backhoe loader is loading soil.
1,001790.jpg,The compactor is compacting rocks. 
1,001798.jpg,One mobile crane is at rest.
1,001800.jpg,The backhoe loader is travelling empty
1,001834.jpg,A mobile crane is lifting a steel beam on a road.
1,001846.jpg,A wheel loader is collecting rocks from the construction site.
1,001850.jpg,Backhoe loader driving on road.
1,001854.jpg,The mobile crane is moving down the road. 
1,001872.jpg,A tower crane is standing at the construction site.
1,001885.jpg,the backhoe loader is being being lifted by a trailer truck 
1,001895.jpg,A concrete mixer truck is transferring cement while and excavator is clearing soil.
1,001901.jpg,A dozer is spreading the soil on the land.
1,001904.jpg,A excavator is excavating the soil and loading it into the dump truck.
1,001917.jpg,An excavator is excavating an enleveled dirt wall.
1,001933.jpg,A grader is travelling on a road.
1,001942.jpg,A dozer is moving over soil surface.
1,001949.jpg,A cement truck is dumpling cement mix into a construction site.
1,001959.jpg,A dozer is static
1,001965.jpg,the wheel loader is traveling loaded at the site
1,001975.jpg,the concrete mixer truck is not mixing a few amount of concrete left in it while driving on the street
1,001997.jpg,the excavator is excavating at the site
1,001998.jpg,Grater spreading soil on shoulder of road.
1,002010.jpg,Concrete mixer truck inside a maintenance building.  
1,002013.jpg,A wheel loader is loading dirt to dump into a dump truck.
1,002019.jpg,One tower crane has been set up.
1,002026.jpg,Five bulldozers are pushing soil to level a site.
1,002032.jpg,one backhoe loader is excavating at the site while another backhoe loader is seen traveling with an empty bucket at the site 
1,002035.jpg,A backhoe loader is digging soil.
1,002052.jpg,the dozer is spreading materials on the road
1,002058.jpg,A grader is cutting the base of a site to level it.
1,002061.jpg,the excavator is loading the dump truck with dirt from the site
1,002064.jpg,A grader is spreading the soil.
1,002071.jpg,a dozer is stripping top soil
1,002074.jpg,Three groupings of excavators with two dump trucks each.  
1,002096.jpg,A mobile crane is stabilized using outriggers.
1,002098.jpg,One excavator is excavating soil.
1,002102.jpg,A grader is maintaining a road.
1,002128.jpg,A grader is spreading the soil.
1,002131.jpg,A grader is grading.
1,002141.jpg,the wheel loader is traveling empty at the site.
1,002151.jpg,A tower crane is set up besides a road.
1,002153.jpg,A wheel loader is moving.
1,002162.jpg,A wheel loader is parked at a site.
1,002164.jpg,A grader is grading a ground full with tall grass.
1,002176.jpg,One grader is grading dirt surface.
1,002180.jpg,the wheel loader is traveling empty at the site 
1,002185.jpg,A dozer is pushing dirt on a dirt road.
1,002199.jpg,the concrete mixer truck has stopped at site
1,002204.jpg,the dozer is spreading materials on the road.
1,002205.jpg,A mobile crane is travelling on the road.
1,002209.jpg,the grader is moving windrows from the road.
1,002213.jpg,a mobile crane's tower is not raised as the mobile crane is currently off 
1,002221.jpg,the two mobile cranes are swinging a beam over the ridge 
1,002224.jpg,A concrete mixer truck is travelling on the road.
1,002229.jpg,the mobile crane is arriving to the site.
1,002230.jpg,One concrete mixer truck is leaving from site.
1,002250.jpg,An empty backhoe loader is at rest
1,002251.jpg,The tower crane is lifting nothing.
1,002266.jpg,A dozer is parked in a construction site.
1,002286.jpg,A grader is leveling a dirt road.
1,002298.jpg,A cement truck is being transported down-hole.
1,002302.jpg,The backhoe loader is loading sand. 
1,002334.jpg,The dozer is loading sand. 
1,002339.jpg,One backhoe loader is collecting crushed gravels.
1,002346.jpg,One dozer is grading soil.
1,002355.jpg,An excavator is dumping soil into a dump truck. An excavator and a dump truck is excavating. A dump truck is moving. A wheel loader is moving.
1,002356.jpg,The bigger mobile crane is lifting and the other one is transferring
1,002371.jpg,A grader is spreading materials on a dirt road.
1,002373.jpg,A grader is grading the soil.
1,002375.jpg,A concrete mixer truck is driving to a site.
1,002378.jpg,An empty backhoe loader is traveling
1,002389.jpg,the wheel loader is dropping dirt from its bucket.
1,002404.jpg,One backhoe loader is leaving.
1,002413.jpg,one excavator is excavating at the site  while another excavator has loaded its bucket and about to dump the material in a dump truck in front of it
1,002418.jpg,A dozer is parked with its bucket lifted.
1,002425.jpg,One excavator is excavating soil and two dozers are collecting soil.
1,002426.jpg,A mobile crane is lifting cargo.
1,002436.jpg,Two excavators are excavating the soil from the field.
1,002437.jpg,The mobile crane is loading nothing. 
1,002446.jpg,A backhoe loader is driving on a site.
1,002448.jpg,the grader is grading the road
1,002471.jpg,Backhoe loader parked in equipment supply yard.
1,002502.jpg,One excavator and one wheel loader are dumping respective materials into two dump trucks.
1,002504.jpg,Excavator on flatbed truck.  Excavator missing boom stick and bucket.
1,002524.jpg,One mobile crane is expanding boom.
1,002526.jpg,Dozer is in transportation. 
1,002535.jpg,A grader is cutting soil.
1,002544.jpg,the dozer is traveling empty
1,002547.jpg,A dozer is spreading the soil on the field.
1,002557.jpg,An excavator is lifting dirt and stones from a hill side.
1,002560.jpg,A dozer is pushing dirt on a pile of dirt.
1,002567.jpg,A Wheel loader is descending dirt pile.
1,002573.jpg,A grader is travelling at a site.
1,002576.jpg,the excavator is swinging its bucket to load it with materials
1,002584.jpg,the grader is grading soil.
1,002589.jpg,A dozer is rollover besides a road.
1,002590.jpg,A backhoe anchored and lifting sand.
1,002592.jpg,A mobile crane is stabilized using an outrigger.
1,002597.jpg,A concrete mixer truck is parked at the construction site.
1,002601.jpg,One dozer is pushing aside sand backfilled by one excavator.
1,002602.jpg,A bulldozer is pushing big rocks on the site.
1,002606.jpg,The concrete mixer truck is falling sideways. 
1,002621.jpg,the excavator is swinging its bucket to start excavating at the site 
1,002631.jpg,Dozer is driving on gravel.
1,002640.jpg,the grader is cutting and shaping the road
1,002643.jpg,A grader is grading a dirt road.
1,002646.jpg,A grader is grading soil.
1,002680.jpg,A backhoe loader is standing at a site.
1,002684.jpg,One mobile crane is moving and one dump truck is at rest at site.
1,002687.jpg,Backhoe loader reversing on site with load chained from shovel bucket.
1,002694.jpg,Two dozers are pushing the soil on the field.
1,002701.jpg,An excavator is lifting rocks on a construction site.
1,002704.jpg,An excavator and a concrete mixer truck are operating on the construction site.
1,002705.jpg,The dozer is moving gravel.
1,002707.jpg,Two dozers are blade-to-blade dozing dirt.
1,002710.jpg,A wheel loader has just dumped a slab of rock on the ground.
1,002712.jpg,Tower crane swinging over site.
1,002716.jpg,A dozer is in operation on soil surface.
1,002726.jpg,A grader parked on the sandy road.
1,002727.jpg,A grading shaping a sandy road beside a forest.
1,002739.jpg,A mobile crane is parked at the construction site.
1,002741.jpg,A dozer is spreading the soil.
1,002767.jpg,The mobile crane is standing still. 
1,002771.jpg,A wheel loader is loading the soil.
1,002774.jpg,An excavator is excavating soil. 
1,002782.jpg,A wheel loader is parked at a site.
1,002784.jpg,A mobile crane is travelling on the road.
1,002786.jpg,three tower cranes are lifting building materials.
1,002794.jpg,Backhoe loader digging soil from site pile.  Backhoe loader driving on site to soil pile.
1,002805.jpg,A mobile crane is standing at a site.
1,002817.jpg,The backhoe loader is standing still. 
1,002825.jpg,Two dump trucks three wheel loaders and two backhoe loaders are at rest.
1,002826.jpg,A wheel loader is travelling on a road.
1,002832.jpg,A dump truck is travelling on the field.
1,002850.jpg,the excavator is about to start loading its bucket with materials from the site.
1,002860.jpg,A mobile crane is driving to a site.
1,002870.jpg,One grader is flattening uneven soil surface.
1,002875.jpg,One backhoe loader is moving on dirt surface.
1,002880.jpg,A grader is grading a dirt road.
1,002887.jpg,A mobile crane is lifting material on top of a building.
1,002903.jpg,The concrete mixer truck is being lifted
1,002959.jpg,The wheel loader is flattening the sand. 
1,002973.jpg,Mobile crane ready for relocation.
1,002986.jpg,A bulldozer is parked at a site.
1,002999.jpg,lots of dump trucks are leaving the site loaded
1,003000.jpg,The wheel loader is pushing the sand. 
1,003002.jpg,the tower crane is swinging its hook to direct it towards materials that needs lifting 
1,003005.jpg,Concrete mixer truck parked in equipment lot.
1,003011.jpg,A backhoe loader is parked at the parking site.
1,003014.jpg,One mobile crane has been set up.
1,003027.jpg,One wheel loader is loading soil.
1,003032.jpg,An excavator is dumping soil into a dump truck on the field.
1,003034.jpg,a concrete mixer truck is entering the site to empty its load 
1,003043.jpg,A dump truck is waiting to be loaded by the construction material.
1,003049.jpg,One grader is flatening dirt road using blade.
1,003053.jpg,A mobile crane is at rest
1,003054.jpg,A grader is leveling a dirt road.
1,003056.jpg,the excavator is swinging its loaded bucket to reach the back of a dump truck and load it
1,003066.jpg,A mobile crane is in standby with the stabilizers deployed.
1,003069.jpg,Wheel loader parked on gravel parking lot with an excavator behind.
1,003072.jpg,An excavator is dumping the soil in the dump truck.
1,003075.jpg,A compactor is compacting the road.
1,003079.jpg,the grader is shaping the road
1,003087.jpg,The grader is grading the sand. 
1,003098.jpg,A grader is grading on a gravel road.
1,003101.jpg,Dozer pushing rocks.  Compactor parked behind.  Compactor in front of excavator compacting road.  
1,003128.jpg,a concrete mixer truck is parked in the driveway
1,003133.jpg,Dozer parked with blade lifted.
1,003135.jpg,A wheel loader is travelling on site.
1,003145.jpg,A dozer is spreading soil.
1,003149.jpg,An empty backhoe loader is traveling
1,003153.jpg,Two tower cranes are transferring materials at a site.
1,003156.jpg,A mobile crane is travelling on a road at night.
1,003175.jpg,Backhoe loader is moving in shallow water.
1,003184.jpg,the grader is moving windrows 
1,003197.jpg,Dump truck parked on construction site.
1,003200.jpg,An excavator is excavating the dirt in a construction site.
1,003224.jpg,A tower crane is seted up nearby a building.
1,003239.jpg,A dozer is idling on the field.
1,003242.jpg,A backhoe loader is idling on the field.
1,003249.jpg,A mobile is standby on the site with its outriggers mounted to the ground.
1,003254.jpg,A mobile crane is stabilized beside a building.
1,003265.jpg,A grader is pushing the snow in the mountain.
1,003274.jpg,A grader is travelling on the road.
1,003286.jpg,A backhoe loader is idling.
1,003294.jpg,A mobile crane is standby on the construction site.
1,003299.jpg,Three mobile crane are moving on the lot.
1,003300.jpg,A grader is grading the soil on a mountain slope.
1,003303.jpg,A mobile crane is idling on the parking lot.
1,003306.jpg,A backhoe loader is loading a bucket of sand from the pile.
1,003308.jpg,A grader is leveling the soil on the mountain road.
1,003314.jpg,A dozer is moving inside a plant.
1,003317.jpg,An excavator and a wheel loader are excavate soil.
1,003324.jpg,A grader is paving the snow.
1,003329.jpg,A grader is grading the soil beside the pond.
1,003331.jpg,A grader is levelling ground in the forest.
1,003338.jpg,An excavator is dumping soil to the dump trucks.
1,003343.jpg,A mobile crane is stabilized on the ground and is standby.
1,003347.jpg,An excavator is transferring soil to the dump truck.
1,003355.jpg,Two excavators are landscaping the soil in the forest.
1,003356.jpg,A dozer is paving the sand and three dump trucks are travelling on the site.
1,003361.jpg,Two compactors and two excavators parked on the parking lot.
1,003364.jpg,Three excavators are excavating the soil from the field and transferring to the dump trucks. A grader is pathing the field.
1,003370.jpg,A grader is idling on the parking lot.
1,003371.jpg,A mobile crane is turning on a corner on the raod.
1,003382.jpg,A mobile crane is standby biside a building.
1,003385.jpg,Two dozers are paving the field.
1,003390.jpg,A backhoe loader is excavating the rock on the mountain.
1,003397.jpg,A tower crane is at rest.
1,003401.jpg,A mobile crane is standby with tis outriggers attached to the ground.
1,003407.jpg,A dozer is going uphill on a mountain.
1,003416.jpg,Two tower cranes are working nearby a highway.
1,003419.jpg,An excavator has transferred a bucket of soil to the dump truck.
1,003431.jpg,An excavator is pulling a bucket of sand.
1,003434.jpg,A concrete mixer truck is standby on the field.
1,003437.jpg,A dozer is idling on the site.
1,003443.jpg,A mobile crane is idling.
1,003464.jpg,A dozer is moving uphill on a sandy field.
1,003465.jpg,A grader is turning direction on the site.
1,003466.jpg,A tower crane is lifting a construction component.
1,003469.jpg,A dozer levelling the soil of the site.
1,003498.jpg,A compactor is idling on the parking lot.
1,003515.jpg,A grader is spreading the soil evenly on the field.
1,003521.jpg,A grader is pushing the snow to the side of the road.
1,003530.jpg,An excavator is standby on the field.
1,003533.jpg,A compactor is idling on the parking lot.
1,003538.jpg,A grader is spreading the sand on the site.
1,003562.jpg,A mobile crane is standby on the field.
1,003565.jpg,An excavator is dumping a bucket of soil to the dump truck.
1,003580.jpg,A wheel loader is lifting a bucket of soil.
1,003582.jpg,An excavator is transferring the waste on the site and two dump trucks are waiting to be loaded.
1,003585.jpg,An excavator has dumped a bucket of soil to the dump trucks.
1,003591.jpg,A mobile crane is passing an intersaction.
1,003594.jpg,A dump truck with a half tank of soil is waiting to be loaded by the wheel loader.
1,003597.jpg,A grader is pathing the field and an excavator is excavating the soil from the cliff.
1,003618.jpg,Compactor wheel loader excavator and a dozer are working together on the dirt field.
1,003626.jpg,Two tower cranes are idling on the construction site.
1,003634.jpg,A tower crane is idling.
1,003637.jpg,A mobile crane is decreasing its hook block.
1,003640.jpg,An excavator is excavating soil.
1,003655.jpg,An excavator is transferring the soil on the side of the lake.
1,003658.jpg,A wheel loader is transferring a bucket of sand.
1,003662.jpg,A backhoe loader is stabilized on the site.
1,003669.jpg,A grader is grading a road in grass.
1,003684.jpg,Two wheel loaders and an excavator are transferring the rock and gravel on the field.
1,003685.jpg,A dozer is moving downhill on a pile of sand.
1,003690.jpg,A concrete mixer truck parked in front of a house.
1,003719.jpg,A mobile crane is idling on the lot.
1,003722.jpg,A tower crane is idling.
1,003748.jpg,A dozer is pushing the soil on the side of the road.
1,003751.jpg,A wheel loader is holding a bucket of sand while five dump trucks are waiting to be loaded.
1,003762.jpg,A grader is flattening the field.
1,003763.jpg,A compactor is parking.
1,003768.jpg,A wheel loader is loading materials into a wheel loader.
1,003780.jpg,A wheel loader is pulling a bucket of water to the pile of gravel.
1,003808.jpg,A grader is moving on the road.
1,003812.jpg,A compactor is idling on the lot.
1,003815.jpg,A grader is pathing a large sandy field.
1,003818.jpg,A tower crane is idling on the site.
1,003832.jpg,A wheel loader is riding.
1,003838.jpg,An excavator is transferring a bucket of soil to the dump truck. A dump truck is waiting to be loaded.
1,003844.jpg,A mobile crane is traveling inside the tunnel.
1,003845.jpg,Two dozers are pushing the slope of pond.
1,003847.jpg,A dozer is pushing the soil forward.
1,003850.jpg,A backhoe loader is turning its direction.
1,003852.jpg,A backhoe loader is landscaping the soil on the site.
1,003858.jpg,A backhoe loader is lifting a pipe with its hoe.
