File name,Total number of captions, Duplicate caption, Number of duplicates
000257.jpg,3,A mobile crane is lifting up a huge tank container.,2
000258.jpg,3,A tower crane is working beside a white building.,2
000259.jpg,3,Two compactor are compacting a construction site.,2
000260.jpg,3,A wheel loader is lifting a bucket of sand.,2
000261.jpg,3,A grader is grading the left side of a road.,2
000262.jpg,3,A backhoe loader is moving forward.,2
000263.jpg,3,Two mobile cranes are lifting two concrete stages.,2
000264.jpg,3,A grader is removing snow.,2
000265.jpg,3,A grader is grading the soil road.,2
000268.jpg,3,A grader is plowing the soil on a hill.,2
000270.jpg,3,A compactor is compacting a road.,2
000271.jpg,3,A dozer is grading a road and a compactor is waiting nearby.,2
000272.jpg,3,Two dozers are moving the rocks on the field.,2
000273.jpg,3,A man in a compactor is waiting for job.,2
000274.jpg,3,A grader is grading the soil along a road.,2
000275.jpg,3,A backhoe loader is pulling a bucket of sand to the ground.,2
000276.jpg,3,A compactor is compacting a new constructed bituminous pavement.,2
000277.jpg,3,An excavator is excavating the a pile of gravel on the ground.,2
000278.jpg,3,A dozer is loaded on the truck to be transported.,2
000279.jpg,3,A excavator is loading the dump truck with soil on a snowy day.,2
000280.jpg,3,A dozer is pushing some gravel forward.,2
000281.jpg,3,A grader is driving into the forest.,2
000282.jpg,3,Two concrete mixer truck is waiting on a site.,2
000283.jpg,3,A backhoe loader is pushing the soil forward on the ground.,2
000284.jpg,3,A backhoe loader is pushing soil.,2
000285.jpg,3,A wheel loader is loaded with a full becket of soil.,2
000286.jpg,3,A mobile crane is about the lift the boxes on the truck.,2
000287.jpg,3,Backhoe loader is clearing the area from extra brown soil.,2
000288.jpg,3,Wheel loader is parked in the farm field. A man is observing the wheel loader from the distance. ,2
000289.jpg,3,An excavator is about to dig into the soil.,2
000290.jpg,3,A dozer is working on the field.,2
000291.jpg,3,A man in a backhoe loader is waiting for job.,2
000292.jpg,3,A mobile crane is extending its arm on the road.,2
000293.jpg,3,A dozer is riding on a rock mound.,2
000294.jpg,3,An excavator is pulling a bucket of sand into the dump truck. ,2
000295.jpg,3,A mobile crane is parked on the side road.,2
000296.jpg,3,A compactor is compacting a road.,2
000297.jpg,3,A tower crane is lifting construction materials.,2
000298.jpg,3,A tower crane is mounted to a building.,2
000300.jpg,3,A wheel loader is loaded with a full bucket of a gravel.,2
000302.jpg,3,A wheel loader is transporting the soil into the dump truck.,2
000303.jpg,3,An excavator is lifting soil to load two dump trucks.,2
000304.jpg,3,A backhoe loader in  moving on the site.,2
000305.jpg,3,A dump truck is waiting on a parking site.,2
000306.jpg,3,Two graders are plowing the soil on the site.,2
000307.jpg,3,A backhoe loader is moving on the site.,2
000308.jpg,3,A red mobile crane is driving on the road.,2
000310.jpg,3,A concrete mixer truck is moving on the road.,2
000311.jpg,3,A wheel loader is excavating a pile of gravel on the field.,2
000312.jpg,3,A compactor is moving along some construction equipment on a parking lot.,2
000313.jpg,3,A mobile crane is carrying a some construction component.,2
000314.jpg,3,A dump truck is dumping the soil and a dozer is grading them.,2
000315.jpg,3,A wheel loader is about to pull a bucket of soil to the dump truck.,2
000316.jpg,3,A concrete mixer truck is turning left on a road.,2
000317.jpg,3,A dump truck is about to start hauling the rocks after the dozer loaded it.,2
000318.jpg,3,A dozer is spreading the soil evenly onto the ground.,2
000319.jpg,3,A dozer is pushing soil to make the road flat.,2
000320.jpg,3,Dozer is moving in the field.,2
000321.jpg,3,A dozer is moving on the site.,2
000322.jpg,3,A grader parked on the field.,2
000323.jpg,3,A man is riding a compactor.,2
000324.jpg,3,A dozer is plowing the gravel on the site.,2
000325.jpg,3,A concrete mixer truck is riding on a road.,2
000328.jpg,3,An excavator is moving its bucket filled with rocks to load the dump truck.,2
000329.jpg,3,A dump truck is hauling soils and the excavator is waiting for another dump truck.,2
000330.jpg,3,A grader is moving on the site.,2
000331.jpg,3,Mobile crane is moving towards a construction site.,2
000332.jpg,3,Grader is moving on the road.,2
000333.jpg,3,A compactor is being displayed.,2
000334.jpg,3,A concrete mixer truck is pulling out the concrete to the constructing low-rise building.,2
000336.jpg,3,A dozer is levelling the road.,2
000337.jpg,3,Dump truck is moving empty on a construction field. ,2
000338.jpg,3,A dozer is pushing a huge rock forward.,2
000340.jpg,3,The excavator is loading a dump truck with gravel.,2
000342.jpg,3,A dozer is moving on the site.,2
000343.jpg,3,A grader is grading some red soil on the road.,2
000344.jpg,3,A mobile crane is standby on the field.,2
000345.jpg,3,A compactor is driving along the construction site.,2
000347.jpg,3,A grader is moving along a muddy path.,2
000348.jpg,3,A wheel loader is idling on a construction site.,2
000349.jpg,3,A wheel loader is dumping rocks into a dump truck using its bucket.,2
000350.jpg,3,A mobile crane is moving on a public road.,2
000351.jpg,3,A compactor is compacting a road.,2
000352.jpg,3,Excavator is excavating soil next to the pool of water. ,2
000353.jpg,3,A wheel loader is moving on the site with some soil inside the bucket.,2
000354.jpg,3,A compactor is compacting the road.,2
000355.jpg,3,An excavator is excavating soil.,2
000356.jpg,3,A grader is grading the soil on the field.,2
000358.jpg,3,A compactor is moving on the construction site.,2
000359.jpg,3,A grader is levelling the new constructed road.,2
000360.jpg,3,A man in a backhoe loader is waiting for job.,2
000361.jpg,3,A mobile crane is riding on a road.,2
000362.jpg,3,A grader is tuning its direction.,2
000363.jpg,3,Compactor is moving out or in a warehouse. ,2
000364.jpg,3,Mobile crane is parked along the main road.,2
000366.jpg,3,A compactor is flattening the soil.,2
000367.jpg,3,A dozer is hold a bucket of soil and climbing uphill.,2
000368.jpg,3,a backhoe loader is  moving on the site.,2
000369.jpg,3,Mobile crane is parked on paved area. ,2
000370.jpg,3,A concrete mixer truck is driving down hill.,2
000371.jpg,3,two excavators are transporting the soil on the ground to the four dump trucks.,2
000372.jpg,3,Three tower cranes are lifting construction materials.,2
000373.jpg,3,A backhoe loader is moving on the field.,2
000374.jpg,3,A backhoe loader is fixed on the ground.,2
000376.jpg,3,A compactor is moving backward on the field.,2
000377.jpg,3,Two mobile cranes are parked on the parking lot.,2
000379.jpg,3,A mobile crane is stabilized on a concrete surface ground.,2
000380.jpg,3,Tower Crane is mounted on unfinished structure ,2
000381.jpg,3,An excavator is excavating soil to load two dump trucks.,2
000382.jpg,3,A dump truck is moving down hill with a full tank of soil.,2
000383.jpg,3,An excavator is dumping soil and rocks into a dump truck.,2
000384.jpg,3,A tower crane is operating on a building under construction. ,2
000386.jpg,3,Wheel loader is parked behind a machine that transfers and filters the soil.,2
000387.jpg,3,An excavator is excavating soil to load two dump trucks.,2
000388.jpg,3,A mobile crane is about to lift something.,2
000389.jpg,3,A mobile crane is waiting on a road.,2
000392.jpg,3,A wheel loader is lifting sandy soil.,2
000394.jpg,3,A wheel loader is transporting several concrete tubes.,2
000395.jpg,3,Grader is grading the soil under a 45 degrees angle. ,2
000396.jpg,3,Dozer is crushing some rocks by moving on them. ,2
000397.jpg,3,A compactor is compacting the sandy road.,2
000398.jpg,3,A backhoe loader is moving on the site.,2
000399.jpg,3,A compactor is compacting the road.,2
000401.jpg,3,A crane is parked next to the mall with its bow full extracted. ,2
000403.jpg,3,A compactor is rolling on the gravel field.,2
000404.jpg,3,A compactor is compacting a road.,2
000405.jpg,3,An excavator and a wheel loader are transporting a pile of gravel on the field.,2
000406.jpg,3,A grader is levelling the soil on the site.,2
000407.jpg,3,Dozer moving down from the hill. ,2
000408.jpg,3,A backhoe loader is stabilized on the concrete ground with the bucket moving.,2
000409.jpg,3,Three dump trucking are assisting the excavator for earth moving task.,2
000410.jpg,3,A grader is grading a road.,2
000411.jpg,3,A backhoe loader is digging its bucket  into the ground with the backhoe support its weight.,2
000413.jpg,3,A mobile crane is lifting a container.,2
000414.jpg,3,A backhoe loader is moving on a parking lot.,2
000416.jpg,3,A tower crane is carrying and moving a tank.,2
000417.jpg,3,Two workers are inspecting the mobile crane.,2
000418.jpg,3,Compactor compacting the earth with its drum.,2
000420.jpg,3,A backhoe loader is transporting a bucket of soil on the field.,2
000421.jpg,3,A compactor is compacting soil along the road.,2
000422.jpg,3,A concrete mixer truck is sitting beside some trucks.,2
000423.jpg,3,A wheel loader and a backhoe loader are plowing the site.,2
000424.jpg,3,A dump truck is waiting for the excavator to load soil into it.,2
000425.jpg,3,A backhoe loader is waiting in a parking site.,2
000427.jpg,3,Wheel loader is transporting the soil.,2
000429.jpg,3,A backhoe loader is using its backhoe and bucket to support itself to get into the dump truck.,2
000430.jpg,3,Many excavators are parked on the lot.,2
000431.jpg,3,A concrete mixer truck parked on the site.,2
000434.jpg,3,Two tower cranes are operating on a building with concrete reinforcement.,2
000435.jpg,3,An excavator is holding a bucket of gravel.,2
000436.jpg,3,A loader is grading one side of the road while a compactor is compacting the other side.,2
000437.jpg,3,Two mobile cranes are trying to lift another mobile crane.,2
000438.jpg,3,Two concrete mixer trucks are moving on the highway.,2
000439.jpg,3,Compactor is compacting the soil.,2
000441.jpg,3,A grader is grading a road using its blade.,2
000442.jpg,3,A grader is grading a road with slope.,2
000444.jpg,3,Excavator digging up the soil Dump truck filled with excavated soil leaving excavator.,2
000445.jpg,3,A concrete mixer truck is about to dump concrete while a wheel loader is removing snow nearby.,2
000449.jpg,3,A grader is moving on the field.,2
000450.jpg,3,Grader is clearing the road from the snow.,2
000452.jpg,3,A dump truck is moving on the site.,2
000453.jpg,3,Two compactors are compacting the soil on a construction field.,2
000454.jpg,3,A excavator is dumping a bucket of soil into a dump truck.,2
000455.jpg,3,A compactor is compacting the construction site.,2
000456.jpg,3,A compactor is climbing a hill on the field.,2
000457.jpg,3,A man in a compactor parked in a site is waiting for job.,2
000458.jpg,3,A backhoe loader is plowing the agricultural field. ,2
000459.jpg,3,Cement truck is parked next to the house that is under construction.,2
000461.jpg,3,A dozer is plowing the field.,2
000462.jpg,3,Two dozers are grading the soil beside a small road.,2
000463.jpg,3,A mobile crane is on a road.,2
000464.jpg,3,A wheel loader is holding a bucket of sand.,2
000465.jpg,3,Mobile crane moving along the narrow road in downtown. ,2
000466.jpg,3,A excavator has transferred a bucket of gravel to the dump truck.,2
000467.jpg,3,A mobile crane is moving on the road.,2
000468.jpg,3,A mobile crane is waiting in a parking site.,2
000469.jpg,3,A dozer is levelling the gravel field by push the gravel forward.,2
000470.jpg,3,A dozer is moving down hill.,2
000471.jpg,3,Concrete mixer truck filling up its mixer with ingredients to make a concrete substance.,2
000472.jpg,3,a backhoe loader is moving along a road.,2
000473.jpg,3,A dump truck is transfering an excavator on a road.,2
000474.jpg,3, A mobile crane is stabilizing its position on the grand.,2
000475.jpg,3,A concrete mixer truck is moving on the icy field.,2
000476.jpg,3,Concrete mixer truck is stuck in the puddle of mud.,2
000477.jpg,3,An excavator is transfered by a dump truck.,2
000478.jpg,3,A mobile crane is on the construction site.,2
000479.jpg,3,A grader is grading a road to make it flat.,2
000480.jpg,3,A wheel loader is turning its direction.,2
000484.jpg,3,A compactor is on a parking lot.,2
000485.jpg,3,A backhoe loader is pushing the soil.,2
000486.jpg,3,A compactor is moving backward.,2
000487.jpg,3,A backhoe loader is working.,2
000488.jpg,3,Two excavators are excavating the field while two dump trucks are waiting to be loaded.,2
000489.jpg,3,An excavator is dumping soil and rock into a dump truck using its bucket.,2
000490.jpg,3,A dozer is moving backwards.,2
000493.jpg,3,An excavator is excavating the ground.,2
000494.jpg,3,A wheel loader is pointing its bucket towards the soil.,2
000496.jpg,3,A dozer is pushing the soil on the field.,2
000497.jpg,3,Concrete mixer is moving towards a warehouse. ,2
000498.jpg,3,A wheel loader is pushing a huge rock to the tank of the dump truck.,2
000499.jpg,3,Five tower cranes are on several constructed buildings.,2
000500.jpg,3,A backhoe loader is lifting soil using its bucket.,2
000504.jpg,2,A cement truck is driving on a road.,2
000521.jpg,2,A mobile crane is parked in a parking site.,2
000657.jpg,2,A cement truck is parked in the parking site.,2
000658.jpg,2,A grader is grading the soil ground.,2
000674.jpg,2,Two compactors are compacting the road.,2
000699.jpg,2,A mobile crane is travelling on site.,2
000704.jpg,2,A dozer is driving trough a ground full of tree branches.,2
000721.jpg,2,Two dump trucks are dumping soil on the road and a dozer and a grader is spreading the soil.,2
000729.jpg,2,A wheel loader is pushing soil along a road.,2
000741.jpg,2,A grader is grading the road.,2
000742.jpg,2,A grader is grading the road.,2
000743.jpg,2,A grader is grading a sandy road.,2
000745.jpg,2,An excavator is excavating soil.,2
000748.jpg,2,A dozer is pushing soil on a mound.,2
000751.jpg,2,A mobile crane is setting up besides a building.,2
000752.jpg,2,A cement truck is leaving the construction site.,2
000754.jpg,2,A dozer is pushing soil on a mound.,2
000757.jpg,2,A compactor is travelling on a road.,2
000758.jpg,2,A grader is at rest on site.,2
000763.jpg,2,A dump truck is driving on a road.,2
000764.jpg,2,A dozer is travelling on a road.,2
000765.jpg,2,A compactor is compacting a road.,2
000768.jpg,2,A wheel loader is dumping gravels on to a conveyor.,2
000777.jpg,2,A wheel loader is dumping a big rock brick into a dump truck.,2
000779.jpg,2,A compactor is compacting a road.,2
000781.jpg,2,A cement truck is riding on a road.,2
000782.jpg,2,Three excavators are parked on site.,2
000783.jpg,2,A dozer is driving on a narrow road.,2
000786.jpg,2,A grader is grading a gravel road.,2
000790.jpg,2,A dozer is cleaning snow.,2
000793.jpg,2,A cement truck is travelling on a road.,2
000794.jpg,2,A grader is travelling on a road.,2
000797.jpg,2,A mobile crane and a tower crane are set up besides a building.,2
000798.jpg,2,An excavator is excavating big rocks.,2
000799.jpg,2,A compactor is compacting a road.,2
000800.jpg,2,A cement truck is travelling on a road.,2
000802.jpg,2,A backhoe loader is dumping soil to a mound near a pond.,2
000803.jpg,2,Two compactors are compacting the road.,2
000806.jpg,2,A mobile crane is set up on a road.,2
000807.jpg,2,A mobile crane is parked on site.,2
000809.jpg,2,A white excavator is excavating soil.,2
000813.jpg,2,A compactor is compacting a road.,2
000817.jpg,2,A grader is grading a road.,2
000819.jpg,2,A cement truck is travelling on a road.,2
000820.jpg,2,A cement truck is travelling on a road.,2
000821.jpg,2,A backhoe loader is digging the ground using its bucket.,2
000822.jpg,2,A compactor is compacting a road.,2
000824.jpg,2,A grader is grading the ground.,2
000825.jpg,2,A compactor is travelling on site.,2
000828.jpg,2,Two wheel loader are loading big rock bricks.,2
000829.jpg,2,A wheel loader is loading a dump truck.,2
000830.jpg,2,A dozer is pushing soil.,2
000832.jpg,2,An excavator is excavating gravel and a wheel loader is waiting at night.,2
000834.jpg,2,A grader is travelling on a road.,2
000837.jpg,2,A backhoe loader is travelling on a road.,2
000838.jpg,2,A cement truck is travelling on a road.,2
000839.jpg,2,A mobile crane is parked in a parking site.,2
000840.jpg,2,A cement truck is travelling on a road.,2
000842.jpg,2,A grader is travelling on a road.,2
000843.jpg,2,Dozers compactors and excavators are working on site to do earthwork.,2
000844.jpg,2,A backhoe loader is travelling on site.,2
000845.jpg,2,A mobile crane is set up on site.,2
000847.jpg,2,A cement truck is parked on site.,2
000848.jpg,2,An excavator is digging soil near a high mound.,2
000849.jpg,2,A dozer is travelling on site.,2
000851.jpg,2,A compactor is travelling on a snow road.,2
000852.jpg,2,A compactor is pulling a heavy material onto a slope.,2
000858.jpg,2,A grader is travelling on grass.,2
000859.jpg,2,A grader is travelling on a road.,2
000860.jpg,2,A grader is grading the road.,2
000861.jpg,2,A backhoe loader is parked in a parking site.,2
000863.jpg,2,A dozer is travelling on an uneven ground covered by snow.,2
000865.jpg,2,A wheel loader is travelling on the street.,2
000867.jpg,2,An excavator is excavating soil on a mound.,2
000868.jpg,2,A backhoe loader is travelling on site.,2
000871.jpg,2,A wheel loader is travelling with its loaded bucket full with rocks.,2
000872.jpg,2,A backhoe loader is travelling on a grass ground.,2
000875.jpg,2,A grader grading a road.,2
000876.jpg,2,A dump truck is parked on site.,2
000878.jpg,2,A wheel loader is loading soil into its bucket.,2
000879.jpg,2,A wheel loader is travelling on site near some rocks.,2
000880.jpg,2,A mobile crane is set up on site and its hook is above the roof of a building.,2
000888.jpg,2,A wheel loader is loading soil into its bucket.,2
000889.jpg,2,A wheel loader is loading a big rock brick into a dump truck.,2
000890.jpg,2,A grader is grading an uneven soil road.,2
000893.jpg,2,A backhoe loader is loading rocks into its bucket.,2
000895.jpg,2,An excavator is excavating soil on the side bank of a pond.,2
000898.jpg,2,A wheel loader is loading a dump truck with soil and an excavator is excavate soil.,2
000899.jpg,2,A grader is grading a road.,2
000900.jpg,2,A compactor is compacting a road.,2
000903.jpg,2,A dump truck is parked on a road.,2
000908.jpg,2,A backhoe loader is digging soil on the road using its back hoe.,2
000910.jpg,2,A dozer is travelling on a rocky ground.,2
000913.jpg,2,A wheel loader is travelling on site with its bucket full loaded with soil.,2
000914.jpg,2,A compactor is travelling on a road.,2
000915.jpg,2,A backhoe loader is travelling trough a shallow river.,2
000916.jpg,2,A mobile crane is travelling on a road.,2
000918.jpg,2,A backhoe loader is digging soil on the ground using its back hoe.,2
000919.jpg,2,A wheel loader is loading snow on a parking site.,2
000920.jpg,2,A mobile crane is parked in a parking site.,2
000921.jpg,2,A grader is grading the road.,2
000922.jpg,2,A cement truck is travelling on a road.,2
000927.jpg,2,A grader is travelling on a road.,2
000929.jpg,2,A grader is doing high bank cut along a road.,2
000930.jpg,2,A mobile crane is travelling on a narrow road.,2
000931.jpg,2,A backhoe loader is excavating soil.,2
000933.jpg,2,A grader is grading a flat road.,2
000935.jpg,2,A grader is grading a road.,2
000936.jpg,2,A tower crane is lifting materials.,2
000938.jpg,2,A cement truck is travelling on a road.,2
000939.jpg,2,A backhoe loader is travelling besides a river to the loading point.,2
000940.jpg,2,Two cement trucks are parked on site.,2
000941.jpg,2,A dozer is pushing soil.,2
000942.jpg,2,A backhoe loader is excavating soil using its back hoe on a grass ground.,2
000943.jpg,2,A cement truck is travelling on a soil road.,2
000944.jpg,2,A wheel loader is transferring wood in a forest.,2
000945.jpg,2,A wheel loader is travelling on site with its bucket full loaded with soil.,2
000946.jpg,2,A dozer is pushing rocks and soil in a forest.,2
000947.jpg,2,A wheel loader is travelling on site with its bucket full loaded with soil.,2
000949.jpg,2,A dozer pushing rocks and soil in rain.,2
000950.jpg,2,A backhoe loader is travelling on site with its front bucket loaded with gravel.,2
000952.jpg,2,A grader is grading a sandy road.,2
000953.jpg,2,A backhoe loader is travelling in a forest.,2
000956.jpg,2,A grader is grading a soil road.,2
000958.jpg,2,A cement truck is travelling on a road.,2
000959.jpg,2,A backhoe loader is travelling on a road.,2
000960.jpg,2,A mobile crane is set up on site and its hook is empty.,2
000962.jpg,2,A grader is grading a sandy road.,2
000963.jpg,2,A grader is travelling on a road.,2
000966.jpg,2,A backhoe loader is dumping soil onto ground.,2
000967.jpg,2,A wheel loader is travelling on site.,2
000968.jpg,2,A mobile crane is travelling on a road near a river.,2
000969.jpg,2,A mobile crane is parked in a parking site.,2
000971.jpg,2,Two excavators are loading three dump trucks.,2
000972.jpg,2,An excavator is about to digging the soil and a dump truck is waiting to be loaded.,2
000975.jpg,2,A dozer is travelling on a road.,2
000976.jpg,2,A mobile crane is set up besides a building and its hook is empty.,2
000978.jpg,2,An excavator is excavating the gravels.,2
000979.jpg,2,A cement truck is travelling on the road.,2
000981.jpg,2,A wheel loader is loading soil into its bucket.,2
000984.jpg,2,An excavator is dumping soil into a dump truck.,2
000985.jpg,2,An excavator is about to digging the soil and a dump truck is waiting to be loaded.,2
000986.jpg,2,A backhoe loader is excavating rocks.,2
000987.jpg,2,An excavator is dumping soil onto the ground.,2
000988.jpg,2,A grader is grading the road.,2
000989.jpg,2,Two mobile cranes are set up in a square.,2
000990.jpg,2,An excavator is loading a dump truck and another dump truck is waiting to be loaded.,2
000991.jpg,2,A wheel loader is about travelling on a road.,2
000992.jpg,2,A mobile crane is travelling on the road.,2
000994.jpg,2,A dozer is travelling in a forest.,2
000996.jpg,2,A wheel loader is returning to the loading point and a dump truck is waiting to be loaded.,2
000998.jpg,2,A grader is grading the road.,2
000999.jpg,2,A dozer is pushing rocks.,2
001077.jpg,2,A backhoe loader is parked at a site.,2
001097.jpg,2,A wheel loader is dumping gravel into a dump truck.,2
001136.jpg,2,A compactor is compacting the road.,2
001179.jpg,19,Tower cranes are lifting construction materials,2
,,A tower crane is lifting a building construction material.,2
